id,address,area,bedrooms,postal_code,posting_date,price,property_type,rooms,sale_date,url,year_built
0,Knollendamstraat 4 III/IV,108,2,1013 TN,4-6-2016,510000,apartment,3,23-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49878073-knollendamstraat-4-iii-iv/,1906
1,Moerdijkstraat 47 1,47,1,1079 XM,22-6-2016,215000,apartment,2,5-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49880733-moerdijkstraat-47-1/,1938
2,Zeeburgerdijk 349,116,2,1095 AD,9-6-2016,325000,apartment,3,8-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49874422-zeeburgerdijk-349/,2003
3,Brederodestraat 124 -1,58,2,1054 VH,14-5-2016,315000,apartment,3,2-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49734603-brederodestraat-124-1/,1910
4,Admiraal De Ruijterweg 409 III,63,1,1055 MD,14-6-2016,200000,apartment,3,23-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49888139-admiraal-de-ruijterweg-409-iii/,1906
5,Bertrand Russellstraat 46,125,2,1097 HL,20-5-2016,515000,apartment,3,9-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49748362-bertrand-russellstraat-46/,1991
6,Admiraal De Ruijterweg 417 I,64,3,1055 ME,14-6-2016,200000,apartment,4,23-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49889476-admiraal-de-ruijterweg-417-i/,1906
7,Deltastraat 10 -boven,155,3,1078 PC,24-5-2016,599000,apartment,5,9-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49742783-deltastraat-10-boven/,1906
8,Ben van Meerendonkstraat 49,85,2,1087 LB,21-5-2016,249000,apartment,3,10-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49742656-ben-van-meerendonkstraat-49/,2007
9,Jacob van Lennepstraat 263 B,67,2,1053 JE,13-5-2016,300000,apartment,3,27-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49722086-jacob-van-lennepstraat-263-b/,1900
10,Spaarndammerdijk 581,100,3,1014 AC,10-6-2016,445000,house,4,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49885937-spaarndammerdijk-581/,1988
11,Van Reigersbergenstraat 47 II,43,1,1052 SR,7-5-2016,179000,apartment,2,25-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49736447-van-reigersbergenstraat-47-ii/,1899
12,Bestevâerstraat 193 I,49,2,1055 TL,10-6-2016,200000,apartment,3,1-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49874610-bestevaerstraat-193-i/,1925
13,Tweede Boerhaavestraat 70 III,65,2,1091 AR,19-2-2016,339000,apartment,3,15-3-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49643782-tweede-boerhaavestraat-70-iii/,1912
14,Bestevâerstraat 158 II,46,2,1055 TR,1-6-2016,200000,apartment,3,22-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49863238-bestevaerstraat-158-ii/,1924
15,Haarlemmerplein 24 -B,74,2,1013 HS,13-3-2016,375000,apartment,3,25-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49776661-haarlemmerplein-24-b/,2012
16,Minervalaan 69 II,130,3,1077 NR,5-7-2016,665000,apartment,4,10-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85266899-minervalaan-69-ii/,1929
17,Domselaerstraat 21 II,58,2,1093 JM,18-6-2016,289000,apartment,3,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49884051-domselaerstraat-21-ii/,1906
18,Abbenesstraat 10 II,66,3,1059 TD,16-3-2016,300000,apartment,4,8-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49778322-abbenesstraat-10-ii/,1935
19,Gibraltarstraat 32 -1,59,3,1055 NP,23-6-2016,225000,apartment,4,11-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49899201-gibraltarstraat-32-1/,1938
20,Leksmondhof 194,70,1,1108 EW,10-10-2015,125000,apartment,2,20-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49528685-leksmondhof-194/,1979
21,Slichtenhorststraat 10,114,3,1107 VH,18-9-2015,234500,house,4,3-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-85957442-slichtenhorststraat-10/,1983
22,Isabella Richaardsstraat 46,112,3,1103 MA,17-4-2016,219000,house,4,3-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-85170960-isabella-richaardsstraat-46/,1998
23,Eerste Jan van der Heijdenstraat 34 a,90,2,1072 TV,31-5-2016,535000,apartment,3,9-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49862997-eerste-jan-van-der-heijdenstraat-34-a/,1906
24,Cornelis van Alkemadestraat 21,147,6,1065 AA,14-5-2016,295000,house,7,10-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49734198-cornelis-van-alkemadestraat-21/,1956
25,Van Suchtelen van de Haarestraat 28 K,107,3,1068 GV,26-2-2016,260000,apartment,4,1-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49759354-van-suchtelen-van-de-haarestraat-28-k/,2000
26,Albert Cuypstraat 101 4a,24,1,1072 CR,23-6-2016,170000,apartment,1,27-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49899310-albert-cuypstraat-101-4a/,1906
27,Rustenburgerstraat 298 hs,127,3,1073 GM,25-5-2016,825000,apartment,4,4-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49855033-rustenburgerstraat-298-hs/,1906
28,Keizersgracht 32 E,112,2,1015 CR,21-4-2016,950000,apartment,3,13-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49711665-keizersgracht-32-e/,1993
29,Keizersgracht 32 E*,112,2,1015 CR,22-4-2016,825000,apartment,3,24-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49711396-keizersgracht-32-e/,1993
30,Albert Cuypstraat 101 5a,24,1,1072 CR,23-6-2016,190000,apartment,1,4-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49899327-albert-cuypstraat-101-5a/,1906
31,Hogeweg 38,152,4,1098 CD,13-7-2016,1060,apartment,6,11-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49819086-hogeweg-38/,1898
32,Overtoom 34 II,129,3,1054 HK,2-12-2015,695000,apartment,4,29-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49679343-overtoom-34-ii/,1896
33,Binnengasthuisstraat 44,52,1,1012 ZD,9-6-2016,259000,apartment,2,12-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49871385-binnengasthuisstraat-44/,1987
34,Eikenweg 58 D,86,1,1092 CB,7-6-2016,395000,apartment,2,17-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49870135-eikenweg-58-d/,1991
35,Oostenburgergracht 8,116,2,1018 NA,16-6-2016,670000,house,4,15-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49881414-oostenburgergracht-8/,1997
36,Griseldestraat 13 -III,60,2,1055 AR,25-6-2016,249000,apartment,4,7-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49892056-griseldestraat-13-iii/,1940
37,J.J. Cremerplein 44 II,61,2,1054 TL,20-1-2016,295000,apartment,3,12-2-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49610867-jj-cremerplein-44-ii/,1914
38,Mijehof 335,105,4,1106 HJ,15-3-2016,219000,house,5,26-3-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49777813-mijehof-335/,1981
39,Hendrik Bulthuisstraat 13,143,4,1067 SC,8-12-2015,369000,house,6,18-2-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49685137-hendrik-bulthuisstraat-13/,2007
40,Tjasker 69,81,2,1035 CT,27-6-2013,149700,apartment,3,12-2-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-48733236-tjasker-69/,1969
41,Kermispad 25,62,2,1033 WX,1-6-2016,185011,apartment,3,14-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49863476-kermispad-25/,1989
42,Lange Vonder 26,95,3,1035 JX,16-2-2016,245000,house,4,17-3-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49649113-lange-vonder-26/,1993
43,Potgieterstraat 61 I,51,1,1053 XT,17-6-2016,265000,apartment,2,5-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49883801-potgieterstraat-61-i/,1890
44,Knokkestraat 69,109,2,1066 WK,9-6-2015,289500,house,4,17-3-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49408596-knokkestraat-69/,1995
45,Rochussenstraat 9 hs,46,1,1051 JK,9-3-2016,225000,apartment,2,5-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49761568-rochussenstraat-9-hs/,1915
46,Laplacestraat 33 hs,140,4,1098 HR,8-5-2016,625000,apartment,5,29-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85190701-laplacestraat-33-hs/,1931
47,Diopter 10,135,4,1025 MS,18-5-2016,349000,house,6,13-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49746088-diopter-10/,1998
48,Linnaeusparkweg 86 III,76,1,1098 EH,10-3-2016,350000,apartment,2,3-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49761363-linnaeusparkweg-86-iii/,1906
49,Flevoparkweg 92,125,4,1095 DP,30-5-2016,525000,apartment,6,16-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49861719-flevoparkweg-92/,2002
50,Jacob Krüsestraat 174,92,3,1106 ZL,18-6-2016,196000,house,4,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49884901-jacob-krusestraat-174/,1986
51,Recht Boomssloot 85 hs,60,1,1011 CX,27-1-2016,339000,apartment,2,30-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49627736-recht-boomssloot-85-hs/,1933
52,Rustenburgerstraat 364 II,61,1,1072 HE,27-5-2016,299500,apartment,2,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49868384-rustenburgerstraat-364-ii/,1906
53,President Brandstraat 318,55,2,1091 WS,14-5-2016,225000,apartment,3,2-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49745639-president-brandstraat-318/,1950
54,Nieuwe Achtergracht 89 sous,52,2,1018 WN,13-5-2016,325000,apartment,3,2-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49732657-nieuwe-achtergracht-89-sous/,1906
55,Keizersgracht 138 D,167,3,1015 CW,9-12-2015,1090,apartment,5,23-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49687326-keizersgracht-138-d/,1622
56,Saskia van Uijlenburgkade 142,112,3,1058 GA,19-5-2016,545000,apartment,4,7-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49748627-saskia-van-uijlenburgkade-142/,2010
57,Ruiseveenpad 12,73,2,1106 AM,19-1-2016,139000,apartment,3,10-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49619132-ruiseveenpad-12/,1981
58,Witte de Withstraat 3 -D,63,1,1057 XD,17-8-2013,275000,apartment,2,15-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-48870618-witte-de-withstraat-3-d/,2009
59,Zuid-Hollandstraat 50 III,126,2,1082 EL,11-5-2016,375000,apartment,3,6-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49739782-zuid-hollandstraat-50-iii/,1959
60,Postjeskade 5 II,46,1,1058 DE,28-5-2016,238000,apartment,2,8-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49869256-postjeskade-5-ii/,1927
61,Eerste Jan Steenstraat 101 -IV -A,24,1,1072 NG,5-7-2016,139500,apartment,1,4-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49801330-eerste-jan-steenstraat-101-iv-a/,1900
62,Voordek 51,77,2,1034 SV,18-6-2015,165000,apartment,3,29-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49418707-voordek-51/,1977
63,Wamelplein 7,65,2,1106 DP,6-4-2016,135000,apartment,3,11-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49793795-wamelplein-7/,1982
64,Tamariskhof 17,286,4,1087 SH,11-6-2016,1499,house,5,20-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49887023-tamariskhof-17/,2014
65,Kuipersstraat 141 + PP,164,3,1073 ER,21-5-2016,949000,house,5,10-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49741141-kuipersstraat-141-pp/,1903
66,Prinsengracht 651 A,102,2,1016 HV,20-5-2016,675000,apartment,3,2-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85104476-prinsengracht-651-a/,1981
67,Egidiusstraat 28 III,71,2,1055 GV,13-5-2016,300000,apartment,4,13-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49731020-egidiusstraat-28-iii/,1945
68,Govert Flinckstraat 322 I,70,3,1073 CJ,19-5-2016,375000,apartment,4,31-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49748112-govert-flinckstraat-322-i/,1906
69,Jan van Galenstraat 123 huis,173,4,1056 BL,11-6-2016,649000,apartment,6,30-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49887068-jan-van-galenstraat-123-huis/,1906
70,Van Boshuizenstraat 199,43,1,1083 AV,30-4-2016,155000,apartment,2,6-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49720989-van-boshuizenstraat-199/,1906
71,Lutmastraat 71 II,61,1,1073 GP,15-3-2016,300000,apartment,2,14-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49778472-lutmastraat-71-ii/,1916
72,Ruysdaelstraat 75 G,43,1,1071 XB,28-5-2016,215000,apartment,2,13-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49860607-ruysdaelstraat-75-g/,1968
73,Westbroekstraat 16,86,2,1107 KB,5-3-2016,169000,apartment,3,13-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49768093-westbroekstraat-16/,1982
74,Wedderborg 21,68,2,1082 SV,23-6-2016,249500,apartment,3,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49898057-wedderborg-21/,1963
75,Piet Gijzenbrugstraat 25 huis+I,101,3,1059 XE,30-6-2016,639000,apartment,4,12-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49808746-piet-gijzenbrugstraat-25-huis-i/,1906
76,Boeroestraat 2,56,1,1095 VR,14-5-2016,225000,apartment,2,2-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49724526-boeroestraat-2/,1983
77,Bos en Lommerweg 295 II,75,2,1055 DX,27-6-2016,325000,apartment,3,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49892565-bos-en-lommerweg-295-ii/,1931
78,Amstelveenseweg 918 A,154,3,1081 JN,18-5-2016,745000,apartment,4,11-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49745385-amstelveenseweg-918-a/,1906
79,Commelinstraat 380,43,1,1093 VD,9-4-2016,199000,apartment,2,1-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49708789-commelinstraat-380/,1981
80,Rudolf Agricolastraat 7,75,3,1064 NL,5-5-2016,180000,house,4,17-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49724139-rudolf-agricolastraat-7/,1945
81,Ecuplein 48,96,2,1060 RN,10-5-2016,250000,apartment,3,1-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49737643-ecuplein-48/,1999
82,Weteringschans 56 A,62,1,1017 SH,17-3-2016,275000,apartment,2,9-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49771916-weteringschans-56-a/,1986
83,Moerdijkstraat 39 1,47,1,1079 XM,22-5-2016,210000,apartment,2,2-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49731513-moerdijkstraat-39-1/,1938
84,Liendenhof 92,75,2,1108 HD,8-6-2016,132500,apartment,3,8-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49871036-liendenhof-92/,1971
85,Marksingel 14,101,3,1060 SG,10-3-2015,286000,house,4,11-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-48309502-marksingel-14/,1998
86,Wormerveerstraat 7 -III L,39,1,1013 SJ,16-6-2016,185000,apartment,2,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49881949-wormerveerstraat-7-iii-l/,1906
87,De la Reijstraat 33 a,42,1,1091 NZ,23-4-2016,189000,apartment,2,18-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49712301-de-la-reijstraat-33-a/,1920
88,Fokke Simonszstraat 88 E,100,2,1017 TK,14-5-2016,580000,apartment,3,14-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49734190-fokke-simonszstraat-88-e/,2006
89,Albert Luthulistraat 14 B,54,2,1091 NV,31-5-2016,215000,apartment,3,22-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49862466-albert-luthulistraat-14-b/,1930
90,Finsenstraat 21 I,73,2,1098 RE,10-5-2016,295000,apartment,4,30-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49736263-finsenstraat-21-i/,1954
91,Albert Luthulistraat 16 B,54,2,1091 NV,23-4-2016,215000,apartment,3,18-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49712309-albert-luthulistraat-16-b/,1930
92,N. Lansdorpstraat 21,136,5,1022 KB,12-5-2016,325000,house,6,7-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49730073-n-lansdorpstraat-21/,2009
93,Vorselaarstraat 98,125,4,1066 ST,16-4-2016,339000,house,5,27-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49716028-vorselaarstraat-98/,1996
94,Bijlmerdreef 244,97,2,1102 AB,20-5-2016,239000,apartment,3,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49749968-bijlmerdreef-244/,2007
95,Willem de Zwijgerlaan 146 -3,49,1,1056 JV,24-6-2016,225000,apartment,2,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49890967-willem-de-zwijgerlaan-146-3/,1934
96,Kranenburg 29,85,2,1083 JM,24-5-2016,275000,apartment,3,6-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85107523-kranenburg-29/,1986
97,Marnixstraat 243 II,146,1,1015 WG,25-5-2016,595000,apartment,3,14-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49855555-marnixstraat-243-ii/,1876
98,Esmoreitstraat 44 III,57,2,1055 CH,22-6-2016,215000,apartment,3,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49896198-esmoreitstraat-44-iii/,1940
99,Overvoorde 30,66,2,1082 GA,29-4-2016,225000,apartment,3,1-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49726251-overvoorde-30/,1960
100,Anna Blamansingel 87,102,2,1102 ST,21-5-2016,239500,apartment,3,16-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49741124-anna-blamansingel-87/,2006
101,Marco Polostraat 73 hs,55,1,1057 WG,29-4-2016,260000,apartment,2,26-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49728848-marco-polostraat-73-hs/,1929
102,Balthasar Floriszstraat 14 III,117,3,1071 VC,10-6-2016,650000,apartment,4,24-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49870732-balthasar-floriszstraat-14-iii/,1906
103,Kinrooistraat 20,131,4,1066 LB,22-4-2016,365000,house,6,18-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49711119-kinrooistraat-20/,1992
104,Haringbuisdijk 18,127,3,1086 VA,30-3-2016,415000,house,5,7-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49796185-haringbuisdijk-18/,2010
105,Borssenburgplein 147 HS,104,2,1078 WB,18-6-2016,470000,apartment,3,11-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49884670-borssenburgplein-147-hs/,2000
106,Herengracht 198 A,143,2,1016 BS,21-5-2016,1450,apartment,3,1-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49749684-herengracht-198-a/,1615
107,Valutaboulevard 16,140,3,1060 RX,23-4-2016,365000,house,5,8-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49713551-valutaboulevard-16/,1999
108,Waalstraat 156 II,38,1,1079 EG,7-4-2016,175000,apartment,2,25-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49794335-waalstraat-156-ii/,1938
109,Prinsengracht 620 /C+D,240,4,1017 KT,8-3-2016,1075,apartment,5,8-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49760329-prinsengracht-620-c-d/,1906
110,Hogevecht 249,90,3,1102 HM,19-5-2016,135000,apartment,4,15-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49748429-hogevecht-249/,1970
111,Daniël Defoelaan 162,75,2,1102 ZL,19-4-2016,167500,apartment,3,19-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49717552-daniel-defoelaan-162/,1983
112,Admiraal De Ruijterweg 401 II,70,2,1055 MD,31-5-2016,300000,apartment,3,13-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49862126-admiraal-de-ruijterweg-401-ii/,1925
113,Anna Blamansingel 145,50,1,1102 SV,25-2-2016,175000,apartment,2,30-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49759518-anna-blamansingel-145/,2006
114,Diopter 134,115,3,1025 MT,24-5-2016,350000,house,4,10-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49743170-diopter-134/,1998
115,Oostakkerstraat 73,105,2,1066 HR,4-9-2015,329000,apartment,3,22-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49589512-oostakkerstraat-73/,2002
116,Kromme-Mijdrechtstraat 35 I,63,2,1079 KP,17-3-2016,275000,apartment,3,14-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49771843-kromme-mijdrechtstraat-35-i/,1926
117,Hoendiepstraat 13 h,59,1,1079 LP,24-2-2016,210000,apartment,3,3-3-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49757770-hoendiepstraat-13-h/,1934
118,Commelinstraat 326,47,1,1093 VD,13-4-2016,225000,apartment,2,24-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49701268-commelinstraat-326/,1981
119,Venetiëhof 107,81,2,1019 NC,11-3-2016,325000,apartment,3,15-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49764718-venetiehof-107/,1994
120,Joos Banckersplantsoen 92,100,2,1056 LD,15-6-2016,375000,apartment,3,1-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49880676-joos-banckersplantsoen-92/,2003
121,Wilhelminastraat 136 1,46,1,1054 WR,20-5-2016,249000,apartment,2,7-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49740488-wilhelminastraat-136-1/,1905
122,Orteliusstraat 246 I,52,2,1056 PJ,26-5-2016,225000,apartment,3,21-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49744016-orteliusstraat-246-i/,1927
123,Zeeburgerkade 196,108,2,1019 HJ,29-4-2016,349000,apartment,4,21-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49728348-zeeburgerkade-196/,1990
124,Ruimzicht 106,55,1,1068 CR,25-5-2016,165000,apartment,2,16-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85219252-ruimzicht-106/,1963
125,Lisdoddelaan 62,246,4,1087 KA,6-4-2016,1100,house,6,5-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49628433-lisdoddelaan-62/,2005
126,Kinkerstraat 49 2,30,1,1053 DD,23-6-2016,185000,apartment,2,4-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49899714-kinkerstraat-49-2/,1906
127,Doggersbankstraat 22 III,48,2,1055 NZ,16-4-2016,185000,apartment,3,9-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49704858-doggersbankstraat-22-iii/,1931
128,Pieter Aertszstraat 89 III/IV,114,3,1073 SL,6-5-2016,625000,apartment,4,27-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49735613-pieter-aertszstraat-89-iii-iv/,1906
129,Burgemeester Hogguerstraat 73,45,1,1064 CK,15-6-2016,145000,apartment,2,27-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49889159-burgemeester-hogguerstraat-73/,1960
130,Willem Augustinstraat 313,63,1,1061 MJ,4-6-2016,185000,apartment,2,8-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49878345-willem-augustinstraat-313/,2015
131,Het Hoogt 426,91,3,1025 HL,17-6-2016,215000,apartment,4,5-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49885778-het-hoogt-426/,1969
132,Sportstraat 18 II,42,1,1076 TW,2-6-2016,240000,apartment,3,8-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49863904-sportstraat-18-ii/,1926
133,Jan van Schaffelaarplantsoen 19 -A,104,4,1061 DL,11-6-2016,375000,apartment,6,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49885808-jan-van-schaffelaarplantsoen-19-a/,1945
134,Piet Gijzenbrugstraat 5 II,113,3,1059 XD,18-5-2016,600000,apartment,4,6-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49747605-piet-gijzenbrugstraat-5-ii/,1931
135,Piet Gijzenbrugstraat 40 hs,54,1,1059 XK,23-5-2016,295000,apartment,2,31-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49743668-piet-gijzenbrugstraat-40-hs/,1931
136,Valutaboulevard 22,141,4,1060 RX,22-4-2016,349000,house,6,1-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49711872-valutaboulevard-22/,1998
137,Leimuidenstraat 15 huis,68,2,1059 ED,14-5-2016,399000,apartment,3,26-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49745656-leimuidenstraat-15-huis/,1906
138,Jekerstraat 59 2,95,1,1078 LZ,3-5-2016,469000,apartment,2,13-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49721339-jekerstraat-59-2/,1928
139,Jacob van Lennepkade 41 II,75,2,1054 ZG,12-5-2016,599000,apartment,3,1-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49730052-jacob-van-lennepkade-41-ii/,1906
140,Churchill-laan 89 D,99,3,1078 DK,24-6-2016,499000,apartment,4,5-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49891785-churchill-laan-89-d/,1927
141,Wamelstraat 3,95,4,1106 DL,5-3-2016,180000,apartment,5,10-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49768227-wamelstraat-3/,1982
142,Bilderdijkstraat 79 E,64,1,1053 KM,3-7-2016,269000,apartment,2,8-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49801939-bilderdijkstraat-79-e/,1906
143,Oostenburgervoorstraat 22,75,2,1018 MR,15-6-2016,260000,apartment,3,14-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85243797-oostenburgervoorstraat-22/,1985
